Year,Author,Title,Filename
1978,shenton,these united states,1978_shenton_these united states.txt
1979,bailey,the american pageant,1979_bailey_the american pageant.txt
1979,bauer,the american way,1979_bauer_the american way.txt
1980,brown,freedom ring,1980_brown_freedom ring.txt
1980,lew,the american dream,1980_lew_the american dream.txt
1980,buggey,america america,1980_buggey_america america.txt
1981,shenton,these united states,1981_shenton_these united states.txt
1981,weinstein,freedom and crisis an american history,1981_weinstein_freedom and crisis an american history.txt
1982,jordan,the united states,1982_jordan_the united states.txt
1982,todd,rise of the american nation,1982_todd_rise of the american nation.txt
1983,may,a proud nation,1983_may_a proud nation.txt
1983,berkin,land of promise,1983_berkin_land of promise.txt
1984,gordon,review text in american history,1984_gordon_review text in american history.txt
1984,drewry,america is,1984_drewry_america is.txt
1985,jordan,the americans,1985_jordan_the americans.txt
1985,ver steeg,american spirit,1985_ver steeg_american spirit.txt
1986,boorstin,a history of the united states,1986_boorstin_a history of the united states.txt
1986,roberts,comprehensive united states history,1986_roberts_comprehensive united states history.txt
1987,garraty,the american nation,1987_garraty_the american nation.txt
1987,jordan,the united states conquering a continent,1987_jordan_the united states conquering a continent.txt
1988,reich,united states history,1988_reich_united states history.txt
1988,gordon,review text in american history,1988_gordon_review text in american history.txt
1989,davidson,nation of nations vol 1,1989_davidson_nation of nations vol 1.txt
1989,davidson,nation of nations vol 2,1989_davidson_nation of nations vol 2.txt
1989,roberts,review text in united states history,1989_roberts_review text in united states history.txt
1990,wilson,the pursuit of liberty vol 1,1990_wilson_the pursuit of liberty vol 1.txt
1990,wilson,the pursuit of liberty vol 2,1990_wilson_the pursuit of liberty vol 2.txt
1990,todd,triumph of the american nation,1990_todd_triumph of the american nation.txt
1991,garraty,the story of america,1991_garraty_the story of america.txt
1991,gavian,the american story,1991_gavian_the american story.txt
1991,o'connor,exploring american history,1991_o'connor_exploring american history.txt
1992,berkin,american voices,1992_berkin_american voices.txt
1992,boorstin,a history of the united states,1992_boorstin_a history of the united states.txt
1992,bragdon,history of a free nation,1992_bragdon_history of a free nation.txt
1993,king,the united states and its people,1993_king_the united states and its people.txt
1993,roberts,comprehensive united states history,1993_roberts_comprehensive united states history.txt
1994,davidson,nation of nations vol 2,1994_davidson_nation of nations vol 2.txt
1994,davidson,nation of nations vol 1,1994_davidson_nation of nations vol 1.txt
1994,garraty,the story of america,1994_garraty_the story of america.txt
1995,abraham,enjoying american history,1995_abraham_enjoying american history.txt
1995,cayton,america pathways to the present,1995_cayton_america pathways to the present.txt
1996,hartley,american civics,1996_hartley_american civics.txt
1996,wilson,the pursuit of liberty vol 1,1996_wilson_the pursuit of liberty vol 1.txt
1996,wilson,the pursuit of liberty vol 2,1996_wilson_the pursuit of liberty vol 2.txt
1996,boorstin,a history of the united states,1996_boorstin_a history of the united states.txt
1997,ritchie,american history vol 2,1997_ritchie_american history vol 2.txt
1997,henretta,americas history,1997_henretta_americas history.txt
1997,ritchie,american history vol 1,1997_ritchie_american history american history vol 1.txt
1997,gavian,the american story,1997_gavian_the american story.txt
1998,boyer,the american nation,1998_boyer_the american nation.txt
1998,roberts,review text in united states history,1998_roberts_review text in united states history.txt
1999,myers,united states history,1999_myers_united states history.txt
1999,boorstin,a history of the united states,1999_boorstin_a history of the united states.txt
2000,cayton,america pathways to the present vol 1,2000_cayton_america pathways to the present vol 1.txt
2000,cayton,america pathways to the present vol 2,2000_cayton_america pathways to the present vol 2.txt
2000,garraty,the american nation vol 2,2000_garraty_the american nation vol 2.txt
2001,stuckey,call to freedom vol 2,2001_stuckey_call to freedom vol 2.txt
2001,ritchie,american history vol 2,2001_ritchie_american history vol 2.txt
2001,stuckey,call to freedom vol 1,2001_stuckey_call to freedom vol 1.txt
2001,ritchie,american history vol 1,2001_ritchie_american history vol 1.txt
2002,danzer,the americans,2002_danzer_the americans.txt
2002,boorstin,a history of the united states,2002_boorstin_a history of the united states.txt
2003,danzer,the americans,2003_danzer_the americans.txt
2003,boyer,american nation,2003_boyer_american nation.txt
2004,davidson,nation of nations,2004_davidson_nation of nations.txt
2004,henretta,americas history,2004_henretta_america's history.txt
2005,appleby,the american vision,2005_appleby_the american vision.txt
2005,danzer,the americans,2005_danzer_the americans.txt
